OBJECTID,lat,long,monthave,date,site,name,month,day,year,dateorig,doy
1,39.0561,-95.1907,0.046140797,2007-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2007,2/15/2007 0:00,46
2,39.0561,-95.1907,0.142992586,2007-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2007,3/15/2007 0:00,74
3,39.0561,-95.1907,0.343039632,2007-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2007,4/15/2007 0:00,105
4,39.0561,-95.1907,0.521345437,2007-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2007,5/15/2007 0:00,135
5,39.0561,-95.1907,0.610345364,2007-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2007,6/15/2007 0:00,166
6,39.0561,-95.1907,0.756416023,2007-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2007,7/15/2007 0:00,196
7,39.0561,-95.1907,0.641121328,2007-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2007,8/15/2007 0:00,227
8,39.0561,-95.1907,0.635895133,2007-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2007,9/15/2007 0:00,258
9,39.0561,-95.1907,0.245653063,2007-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2007,10/15/2007 0:00,288
10,39.0561,-95.1907,0.138653487,2007-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2007,11/15/2007 0:00,319
11,39.0561,-95.1907,0.070001878,2008-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2008,1/15/2008 0:00,15
12,39.0561,-95.1907,0.231400415,2008-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2008,4/15/2008 0:00,106
13,39.0561,-95.1907,0.576989591,2008-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2008,5/15/2008 0:00,136
14,39.0561,-95.1907,0.797935307,2008-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2008,6/15/2008 0:00,167
15,39.0561,-95.1907,0.942385495,2008-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2008,7/15/2008 0:00,197
16,39.0561,-95.1907,0.60491848,2008-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2008,8/15/2008 0:00,228
17,39.0561,-95.1907,0.487277597,2008-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2008,9/15/2008 0:00,259
18,39.0561,-95.1907,0.199592963,2008-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2008,10/15/2008 0:00,289
19,39.0561,-95.1907,0.056494653,2008-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2008,11/15/2008 0:00,320
20,39.0561,-95.1907,0.067560494,2008-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2008,12/15/2008 0:00,350
21,39.0561,-95.1907,0.107194237,2009-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2009,1/15/2009 0:00,15
22,39.0561,-95.1907,0.046602901,2009-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2009,2/15/2009 0:00,46
23,39.0561,-95.1907,0.085741989,2009-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2009,3/15/2009 0:00,74
24,39.0561,-95.1907,0.194216087,2009-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2009,4/15/2009 0:00,105
25,39.0561,-95.1907,0.671997607,2009-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2009,5/15/2009 0:00,135
26,39.0561,-95.1907,0.775831401,2009-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2009,6/15/2009 0:00,166
27,39.0561,-95.1907,0.784290195,2009-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2009,7/15/2009 0:00,196
28,39.0561,-95.1907,0.870193481,2009-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2009,8/15/2009 0:00,227
29,39.0561,-95.1907,0.40686813,2009-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2009,9/15/2009 0:00,258
30,39.0561,-95.1907,0.152623415,2009-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2009,10/15/2009 0:00,288
31,39.0561,-95.1907,0.110819191,2009-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2009,11/15/2009 0:00,319
32,39.0561,-95.1907,0.046791032,2009-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2009,12/15/2009 0:00,349
33,39.0561,-95.1907,0.026732499,2010-1-15T00:00:00.000Z,US-KFS,Kansas Field Station,1,15,2010,1/15/2010 0:00,15
34,39.0561,-95.1907,0.199179769,2010-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2010,3/15/2010 0:00,74
35,39.0561,-95.1907,0.408813596,2010-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2010,4/15/2010 0:00,105
36,39.0561,-95.1907,0.611437142,2010-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2010,5/15/2010 0:00,135
37,39.0561,-95.1907,0.656139493,2010-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2010,6/15/2010 0:00,166
38,39.0561,-95.1907,0.861117005,2010-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2010,7/15/2010 0:00,196
39,39.0561,-95.1907,0.591881156,2010-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2010,8/15/2010 0:00,227
40,39.0561,-95.1907,0.437493056,2010-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2010,9/15/2010 0:00,258
41,39.0561,-95.1907,0.267618388,2010-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2010,10/15/2010 0:00,288
42,39.0561,-95.1907,0.074502766,2010-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2010,11/15/2010 0:00,319
43,39.0561,-95.1907,0.041946311,2011-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2011,3/15/2011 0:00,74
44,39.0561,-95.1907,0.459375113,2011-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2011,4/15/2011 0:00,105
45,39.0561,-95.1907,0.594597697,2011-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2011,5/15/2011 0:00,135
46,39.0561,-95.1907,0.814309001,2011-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2011,6/15/2011 0:00,166
47,39.0561,-95.1907,0.932230949,2011-7-15T00:00:00.000Z,US-KFS,Kansas Field Station,7,15,2011,7/15/2011 0:00,196
48,39.0561,-95.1907,0.775738001,2011-8-15T00:00:00.000Z,US-KFS,Kansas Field Station,8,15,2011,8/15/2011 0:00,227
49,39.0561,-95.1907,0.391228765,2011-9-15T00:00:00.000Z,US-KFS,Kansas Field Station,9,15,2011,9/15/2011 0:00,258
50,39.0561,-95.1907,0.228102282,2011-10-15T00:00:00.000Z,US-KFS,Kansas Field Station,10,15,2011,10/15/2011 0:00,288
51,39.0561,-95.1907,0.016846655,2011-11-15T00:00:00.000Z,US-KFS,Kansas Field Station,11,15,2011,11/15/2011 0:00,319
52,39.0561,-95.1907,0.046950068,2011-12-15T00:00:00.000Z,US-KFS,Kansas Field Station,12,15,2011,12/15/2011 0:00,349
53,39.0561,-95.1907,0.042617515,2012-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2,15,2012,2/15/2012 0:00,46
54,39.0561,-95.1907,0.059026793,2012-3-15T00:00:00.000Z,US-KFS,Kansas Field Station,3,15,2012,3/15/2012 0:00,75
55,39.0561,-95.1907,0.459718436,2012-4-15T00:00:00.000Z,US-KFS,Kansas Field Station,4,15,2012,4/15/2012 0:00,106
56,39.0561,-95.1907,0.662597418,2012-5-15T00:00:00.000Z,US-KFS,Kansas Field Station,5,15,2012,5/15/2012 0:00,136
57,39.0561,-95.1907,0.580968797,2012-6-15T00:00:00.000Z,US-KFS,Kansas Field Station,6,15,2012,6/15/2012 0:00,167
