OBJECTID,lat,long,dailyave,date,site,name,dateorig
1,49.709299999999999,-112.940200000000000,0.017544586000000,2007-1-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,1/15/2007 0:00:00
2,36.819299999999998,-97.819800000000001,0.131595388000000,2007-1-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,1/15/2007 0:00:00
4,36.635800000000003,-99.597499999999997,0.053845778000000,2007-1-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,1/15/2007 0:00:00
8,39.216700000000003,-86.540599999999998,0.064912461000000,2007-1-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,1/15/2007 0:00:00
10,43.950000000000003,-101.846600000000000,0.004073307000000,2007-1-15T00:00:00.000Z,US-Ctn,Cottonwood,1/15/2007 0:00:00
11,37.677300000000002,-121.529600000000000,0.222069174000000,2007-1-15T00:00:00.000Z,US-Dia,Diablo,1/15/2007 0:00:00
12,35.971200000000003,-79.093400000000003,0.152366370000000,2007-1-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,1/15/2007 0:00:00
14,29.930000000000000,-98.010000000000005,0.210195661000000,2007-1-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,1/15/2007 0:00:00
15,29.949500000000000,-97.996200000000002,0.052359801000000,2007-1-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,1/15/2007 0:00:00
18,39.074500000000000,-96.595100000000002,0.292915314000000,2007-1-15T00:00:00.000Z,US-KFB,Konza Prairie LTER (4B),1/15/2007 0:00:00
20,38.774500000000003,-97.568399999999997,0.097011939000000,2007-1-15T00:00:00.000Z,US-KLS,Kansas Land Institute,1/15/2007 0:00:00
21,39.082400000000000,-96.560299999999998,0.292915314000000,2007-1-15T00:00:00.000Z,US-Kon,Konza Prairie LTER (KNZ),1/15/2007 0:00:00
22,34.137700000000002,-101.478700000000000,0.129700959000000,2007-1-15T00:00:00.000Z,US-LGr,Lockney Grassland,1/15/2007 0:00:00
23,34.960400000000000,-97.978899999999996,0.286839485000000,2007-1-15T00:00:00.000Z,US-LWW,Little Washita Watershed,1/15/2007 0:00:00
25,42.069299999999998,-101.407200000000000,0.007008739000000,2007-1-15T00:00:00.000Z,US-SdH,Nebraska SandHills Dry Valley,1/15/2007 0:00:00
26,34.362299999999998,-106.701899999999990,0.041541953000000,2007-1-15T00:00:00.000Z,US-Seg,Sevilleta grassland,1/15/2007 0:00:00
27,36.933300000000003,-96.683300000000003,0.014546233000000,2007-1-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,1/15/2007 0:00:00
28,38.037300000000002,-121.753699999999990,0.036356561000000,2007-1-15T00:00:00.000Z,US-Snd,Sherman Island,1/15/2007 0:00:00
29,38.036900000000003,-121.754700000000000,0.036356561000000,2007-1-15T00:00:00.000Z,US-Sne,Sherman Island Restored Wetland,1/15/2007 0:00:00
32,38.431600000000003,-120.965999999999990,0.087467492000000,2007-1-15T00:00:00.000Z,US-Ton,Tonzi Ranch,1/15/2007 0:00:00
33,38.413300000000000,-120.950700000000000,0.087467492000000,2007-1-15T00:00:00.000Z,US-Var,Vaira Ranch- Ione,1/15/2007 0:00:00
34,31.736499999999999,-109.941900000000000,0.076879084000000,2007-1-15T00:00:00.000Z,US-Wkg,Walnut Gulch Kendall Grasslands,1/15/2007 0:00:00
36,49.709299999999999,-112.940200000000000,0.062040586000000,2007-2-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,2/15/2007 0:00:00
37,36.819299999999998,-97.819800000000001,0.082837977000000,2007-2-15T00:00:00.000Z,US-A32,ARM-SGP Medford hay pasture,2/15/2007 0:00:00
38,36.426699999999997,-99.420000000000002,0.076415166000000,2007-2-15T00:00:00.000Z,US-AR1,ARM USDA UNL OSU Woodward Switchgrass 1,2/15/2007 0:00:00
39,36.635800000000003,-99.597499999999997,0.041698296000000,2007-2-15T00:00:00.000Z,US-AR2,ARM USDA UNL OSU Woodward Switchgrass 2,2/15/2007 0:00:00
40,35.549700000000001,-98.040199999999999,0.194536641000000,2007-2-15T00:00:00.000Z,US-ARb,ARM Southern Great Plains burn site- Lamont,2/15/2007 0:00:00
41,35.546500000000002,-98.040000000000006,0.194536641000000,2007-2-15T00:00:00.000Z,US-ARc,ARM Southern Great Plains control site- Lamont,2/15/2007 0:00:00
42,31.590699999999998,-110.510400000000000,0.038357332000000,2007-2-15T00:00:00.000Z,US-Aud,Audubon Research Ranch,2/15/2007 0:00:00
43,44.345300000000002,-96.836200000000005,0.005891611000000,2007-2-15T00:00:00.000Z,US-Bkg,Brookings,2/15/2007 0:00:00
44,39.216700000000003,-86.540599999999998,0.040548749000000,2007-2-15T00:00:00.000Z,US-BRG,Bayles Road Grassland Tower,2/15/2007 0:00:00
46,40.815500000000000,-104.745600000000000,0.012178762000000,2007-2-15T00:00:00.000Z,US-CPR,NEON Central Plains Experimental Range (CPER),2/15/2007 0:00:00
48,37.677300000000002,-121.529600000000000,0.208279178000000,2007-2-15T00:00:00.000Z,US-Dia,Diablo,2/15/2007 0:00:00
49,35.971200000000003,-79.093400000000003,0.095286995000000,2007-2-15T00:00:00.000Z,US-Dk1,Duke Forest-open field,2/15/2007 0:00:00
50,48.307699999999997,-105.101900000000000,0.202319309000000,2007-2-15T00:00:00.000Z,US-FPe,Fort Peck,2/15/2007 0:00:00
51,29.930000000000000,-98.010000000000005,0.244438708000000,2007-2-15T00:00:00.000Z,US-FR1,Freeman Ranch- Grassland,2/15/2007 0:00:00
52,29.949500000000000,-97.996200000000002,0.267335802000000,2007-2-15T00:00:00.000Z,US-FR2,Freeman Ranch- Mesquite Juniper,2/15/2007 0:00:00
53,35.445399999999999,-111.771800000000000,0.042946853000000,2007-2-15T00:00:00.000Z,US-Fwf,Flagstaff - Wildfire,2/15/2007 0:00:00
54,34.254700000000000,-89.873500000000007,0.091982946000000,2007-2-15T00:00:00.000Z,US-Goo,Goodwin Creek,2/15/2007 0:00:00
57,39.056100000000001,-95.190700000000007,0.046140797000000,2007-2-15T00:00:00.000Z,US-KFS,Kansas Field Station,2/15/2007 0:00:00
58,38.774500000000003,-97.568399999999997,0.046559334000000,2007-2-15T00:00:00.000Z,US-KLS,Kansas Land Institute,2/15/2007 0:00:00
60,44.994999999999997,-93.186300000000003,0.226889238000000,2007-2-15T00:00:00.000Z,US-KUT,KUOM Turfgrass Field,2/15/2007 0:00:00
65,44.678100000000001,-93.072299999999998,0.226889238000000,2007-2-15T00:00:00.000Z,US-Ro4,Rosemount Prairie,2/15/2007 0:00:00
66,33.736400000000003,-117.694700000000000,0.021857118000000,2007-2-15T00:00:00.000Z,US-SCg,Southern California Climate Gradient - Grassland,2/15/2007 0:00:00
68,34.362299999999998,-106.701899999999990,0.027691342000000,2007-2-15T00:00:00.000Z,US-Seg,Sevilleta grassland,2/15/2007 0:00:00
69,36.933300000000003,-96.683300000000003,0.096254237000000,2007-2-15T00:00:00.000Z,US-Shd,Shidler- Oklahoma,2/15/2007 0:00:00
70,38.037300000000002,-121.753699999999990,0.198513567000000,2007-2-15T00:00:00.000Z,US-Snd,Sherman Island,2/15/2007 0:00:00
71,38.036900000000003,-121.754700000000000,0.198513567000000,2007-2-15T00:00:00.000Z,US-Sne,Sherman Island Restored Wetland,2/15/2007 0:00:00
72,31.789400000000001,-110.827699999999990,0.038357332000000,2007-2-15T00:00:00.000Z,US-SRG,Santa Rita Grassland,2/15/2007 0:00:00
73,31.821400000000001,-110.866100000000000,0.038357332000000,2007-2-15T00:00:00.000Z,US-SRM,Santa Rita Mesquite,2/15/2007 0:00:00
74,38.431600000000003,-120.965999999999990,0.173567578000000,2007-2-15T00:00:00.000Z,US-Ton,Tonzi Ranch,2/15/2007 0:00:00
75,38.413300000000000,-120.950700000000000,0.173567578000000,2007-2-15T00:00:00.000Z,US-Var,Vaira Ranch- Ione,2/15/2007 0:00:00
77,37.520800000000001,-96.855000000000004,0.089562684000000,2007-2-15T00:00:00.000Z,US-Wlr,Walnut River Watershed (Smileyburg),2/15/2007 0:00:00
78,49.709299999999999,-112.940200000000000,0.001019303000000,2007-3-15T00:00:00.000Z,CA-Let,Alberta - Mixed Grass Prairie,3/15/2007 0:00:00
